Debt Scheme - Banking and PSU Fund,147223,Indiabulls Banking & PSU Debt Fund- Regular Plan- Growth Option,Indiabulls Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,147218,Indiabulls Banking & PSU Debt Fund-Direct Plan- Daily Dividend Option,Indiabulls Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,147219,Indiabulls Banking & PSU Debt Fund-Direct Plan- Fortnightly Dividend Option,Indiabulls Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,147217,Indiabulls Banking & PSU Debt Fund-Direct Plan- Growth,Indiabulls Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,147221,Indiabulls Banking & PSU Debt Fund-Direct Plan- Monthly Dividend Option,Indiabulls Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,147220,Indiabulls Banking & PSU Debt Fund-Direct Plan- Weekly Dividend Option,Indiabulls Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,147224,Indiabulls Banking & PSU Debt Fund-Regular Plan- Daily Dividend Option,Indiabulls Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,147222,Indiabulls Banking & PSU Debt Fund-Regular Plan- Weekly Dividend Option,Indiabulls Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,147226,Indiabulls Banking & PSU Debt Fund-Regular Plan-Fortnightly Dividend Option,Indiabulls Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,147225,Indiabulls Banking & PSU Debt Fund-Regular Plan-Monthly Dividend Option,Indiabulls Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,118234,Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment),Invesco Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,120444,Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option,Invesco Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,120443,Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment),Invesco Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,120445,Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Invesco Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,118232,Invesco India Banking & PSU Debt Fund - Growth Option,Invesco Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,118233,Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment),Invesco Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,ITI Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
Debt Scheme - Banking and PSU Fund,148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,ITI Mutual Fund,Open Ended Schemes(Debt Scheme - Banking and PSU Fund),Debt Scheme
