148533,ITI Mutual Fund,Debt Scheme,Banking and PSU Fund,false,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option
123688,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Kotak Banking and PSU Debt - Annual Dividend
123858,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Kotak Banking and PSU Debt - Daily Dividend Reinvestment
123859,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment
123690,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,true,Kotak Banking and PSU Debt - Growth
123691,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option
123689,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Kotak Banking and PSU Debt Direct - Annual Dividend
123693,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,true,Kotak Banking and PSU Debt Direct - Growth
123692,Kotak Mahindra Mutual Fund,Debt Scheme,Banking and PSU Fund,false,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option
119794,L&T Mutual Fund,Debt Scheme,Banking and PSU Fund,false,L&T Banking and PSU Debt Fund -  Direct Plan - Monthly IDCW
118080,L&T Mutual Fund,Debt Scheme,Banking and PSU Fund,false,L&T Banking and PSU Debt Fund -  Regular Plan - Monthly IDCW
119796,L&T Mutual Fund,Debt Scheme,Banking and PSU Fund,false,L&T Banking and PSU Debt Fund - Direct Plan - Daily IDCW 
119795,L&T Mutual Fund,Debt Scheme,Banking and PSU Fund,true,L&T Banking and PSU Debt Fund - Direct Plan - Growth
119797,L&T Mutual Fund,Debt Scheme,Banking and PSU Fund,false,L&T Banking and PSU Debt Fund - Direct Plan - Weekly IDCW
118076,L&T Mutual Fund,Debt Scheme,Banking and PSU Fund,false,L&T Banking and PSU Debt Fund - Regular Plan - Daily IDCW
118078,L&T Mutual Fund,Debt Scheme,Banking and PSU Fund,true,L&T Banking and PSU Debt Fund - Regular Plan - Growth
118077,L&T Mutual Fund,Debt Scheme,Banking and PSU Fund,false,L&T Banking and PSU Debt Fund - Regular Plan - Weekly IDCW
120337,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW
120338,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,true,LIC MF Banking & PSU Debt Fund-Direct Plan-Growth
120339,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW
120336,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW
105822,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,false,LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW
105823,LIC Mutual Fund,Debt Scheme,Banking and PSU Fund,true,LIC MF Banking & PSU Debt Fund-Regular Plan-Growth
